EXP-003
hardware: Darwin | 27.0.0 | arm64 | 8P/8L cores | 16 GiB RAM | device:cpu,mps

EXP-003: calendar features off for all three models, everything else as EXP-002. Measures what the five target-slot features are worth, and keeps the comparison at equal information either way.

 area model  seed  n_params     MAE     RMSE   MAPE  sMAPE   WAPE   MASE     R2  n_scored  n_dropped device  epochs  best_epoch  s_per_epoch   fit_s  fit_cpu_s  predict_ms  latency_ms  predict_us_per_step
 5161  lstm    42     17217 84.8299 130.0954 8.0316 7.8722 5.8700 0.2442 0.9909      1008          0    mps      49          39        0.636 31.2287    13.1258      12.969      2.8409               12.866
 5161   tcn    42     34753 79.8511 121.7922 7.6037 7.3871 5.5255 0.2299 0.9920      1008          0    mps      36          26        1.267 45.6178    19.4932      20.362      3.0741               20.200
 5161   gbt    42      3875 85.6652 127.7346 8.3178 8.1185 5.9278 0.2466 0.9912      1008          0    cpu     125         105        0.014  1.7679     7.5064       7.681      5.7918                7.620
 5059  lstm    42     17217 70.2018 103.1651 6.6076 6.5433 5.5476 0.2597 0.9879      1008          0    mps      28          18        0.628 17.5931     7.6607      13.170      3.0062               13.065
 5059   tcn    42     34753 67.4126  97.3282 6.4663 6.3628 5.3272 0.2494 0.9892      1008          0    mps      30          20        1.250 37.5252    15.9058      20.302      3.0491               20.141
 5059   gbt    42      3596 70.7201 102.1678 6.7782 6.6583 5.5886 0.2617 0.9881      1008          0    cpu     116          96        0.014  1.6162     6.9930       6.978      5.3043                6.923
 5259  lstm    42     17217 66.9488  96.1240 7.2189 7.1372 5.2920 0.1278 0.9926      1008          0    mps      55          45        0.623 34.2975    14.7194      12.887      2.9715               12.785
 5259   tcn    42     34753 62.5178  92.4258 6.7094 6.5138 4.9417 0.1194 0.9932      1008          0    mps      42          32        1.256 52.7892    22.4830      20.932      3.1513               20.766
 5259   gbt    42      3937 64.0263  92.8151 6.8982 6.7542 5.0610 0.1223 0.9931      1008          0    cpu     127         107        0.018  2.2865     8.7502       8.713      6.5415                8.644
