EXP-002
hardware: Darwin | 27.0.0 | arm64 | 8P/8L cores | 16 GiB RAM | device:cpu,mps

EXP-002: log1p-standard in place of standard. Only the input transform changes. The rolling mean and std correlate at 0.973 raw and 0.235 after log1p on the training slice, so the noise is multiplicative and the transform should stabilise it.

 area model  seed  n_params     MAE     RMSE   MAPE  sMAPE   WAPE   MASE     R2  n_scored  n_dropped device  epochs  best_epoch  s_per_epoch   fit_s  fit_cpu_s  predict_ms  latency_ms  predict_us_per_step
 5161  lstm    42     17222 84.1378 128.8562 7.9417 7.7723 5.8221 0.2422 0.9911      1008          0    mps      45          35        0.680 30.9886    13.6758      13.665      3.1280               13.556
 5161   tcn    42     34758 78.0040 117.9558 7.6316 7.3937 5.3976 0.2245 0.9925      1008          0    mps      43          33        1.341 57.7021    25.3812      22.486      4.4488               22.307
 5161   gbt    42      3720 84.9533 127.1826 8.3022 8.0843 5.8785 0.2445 0.9913      1008          0    cpu     120         100        0.019  2.2547     8.2784       7.940      7.2013                7.877
 5059  lstm    42     17222 68.5332  99.0715 6.4815 6.4112 5.4158 0.2536 0.9888      1008          0    mps      54          44        0.692 37.4062    16.9478      14.277      3.3080               14.163
 5059   tcn    42     34758 82.8970 122.9126 7.2478 7.0499 6.5508 0.3067 0.9828      1008          0    mps      28          18        1.344 37.6610    16.3451      20.898      3.1865               20.732
 5059   gbt    42      4464 71.7829 103.5586 6.8159 6.6849 5.6726 0.2656 0.9878      1008          0    cpu     144         124        0.013  1.8294     8.9389       7.309      6.0438                7.251
 5259  lstm    42     17222 65.8143  93.9912 7.1262 7.0510 5.2023 0.1257 0.9930      1008          0    mps      45          35        0.668 30.0644    13.0749      13.868      3.3354               13.758
 5259   tcn    42     34758 60.9371  89.4142 6.5403 6.4126 4.8168 0.1164 0.9936      1008          0    mps      42          32        1.280 53.7986    23.2086      21.009      3.2573               20.842
 5259   gbt    42      3751 63.5133  92.0161 6.8460 6.7028 5.0204 0.1213 0.9933      1008          0    cpu     121         101        0.021  2.5582     9.2568       6.921      7.0992                6.866
